882 2901
850 104 708
637 100 273
519 812 544
684 208 886
209 731 230
855 121 579
356 683 857
459 831 422
682 587 306
61 642 9
847 399 256
877 21 585
598 740 754
495 470 590
382 782 322
333 522 725
601 395 575
777 398 705
696 749 662
115 355 695
792 66 851
482 309 308
367 687 524
192 48 779
116 809 138
419 180 217
876 735 799
591 638 632
450 804 302
855 152 682
75 877 329
332 832 287
592 228 224
790 230 281
128 340 338
515 316 716
332 631 733
485 820 753
485 320 983
194 546 900
442 262 505
596 19 369
493 816 692
706 520 628
565 218 312
852 125 714
123 490 781
596 758 560
93 861 449
402 270 520
328 714 419
181 124 210
789 581 573
49 23 964
212 241 160
293 339 97
258 151 65
509 525 134
317 286 632
684 360 485
871 212 460
695 832 908
760 73 351
820 184 757
572 430 480
111 427 702
671 458 340
650 551 900
661 464 291
605 228 870
866 510 492
822 60 795
597 872 323
853 50 899
71 767 701
172 453 754
785 525 840
336 671 36
196 838 545
597 45 766
861 439 105
616 772 16
586 447 793
576 149 212
723 616 485
363 522 293
528 696 474
56 612 895
753 258 697
714 374 799
577 22 998
567 21 233
750 64 269
799 453 428
722 26 985
494 216 680
522 459 596
33 735 332
134 623 482
814 806 792
326 692 453
209 549 942
311 230 523
762 209 878
400 874 94
429 297 232
864 353 892
231 224 837
542 590 325
344 137 996
61 97 462
354 233 791
17 637 634
625 203 377
513 437 57
794 451 150
586 373 231
746 626 528
551 434 644
640 410 320
396 877 672
337 819 82
692 140 797
302 566 91
75 658 572
456 40 954
35 214 369
654 342 757
419 750 234
44 398 531
173 622 119
32 163 212
229 399 290
510 99 177
824 842 232
325 119 822
706 230 866
202 331 864
689 240 684
215 595 256
229 207 412
581 858 654
166 230 705
600 383 609
614 395 436
709 449 720
253 680 859
663 19 74
329 490 292
712 755 747
315 224 994
508 859 624
149 860 593
537 346 722
661 347 732
468 487 119
844 22 357
842 761 143
7 304 886
33 298 187
647 222 500
221 546 193
150 768 512
696 97 503
332 833 658
211 149 566
415 737 911
753 491 750
95 32 731
730 694 367
837 408 90
106 806 387
397 142 820
700 424 24
139 699 321
162 800 936
871 135 874
816 837 293
563 788 417
268 695 681
377 768 56
67 523 552
298 250 195
389 798 357
328 488 921
593 464 303
253 55 939
288 162 224
234 781 219
122 177 748
190 113 362
132 592 679
313 679 536
242 117 376
172 579 528
744 252 846
400 528 336
827 244 317
645 102 566
390 708 854
493 142 239
421 262 517
554 263 656
28 761 579
139 586 93
438 145 647
644 680 153
412 826 869
493 14 55
705 192 782
402 417 386
666 685 855
520 146 565
690 741 677
187 12 649
840 511 475
377 674 10
4 617 104
696 366 208
841 392 714
725 275 679
114 598 461
808 657 854
491 88 205
112 247 565
777 416 688
437 175 299
59 27 459
389 423 816
184 783 920
127 624 31
540 736 505
333 866 377
536 147 78
13 450 879
240 782 991
647 863 834
384 209 225
470 213 25
882 804 487
834 417 957
301 823 81
32 74 9
414 720 400
452 706 988
383 834 150
495 190 671
340 403 23
97 548 765
206 830 477
83 619 331
731 605 554
157 306 428
94 630 381
472 247 789
682 306 650
57 317 509
390 623 538
650 177 844
200 771 266
463 878 69
69 67 878
461 571 247
316 771 900
511 437 641
689 716 995
21 835 911
703 301 13
674 189 634
340 764 588
735 758 144
648 824 903
770 493 869
466 877 81
30 398 161
457 176 138
602 129 866
605 503 844
114 400 159
577 277 458
418 440 603
187 219 244
740 77 299
296 555 258
434 231 248
444 825 672
711 403 29
276 9 562
316 291 63
863 171 11
708 268 186
781 761 535
406 94 29
133 302 830
530 371 961
695 9 228
31 731 472
114 422 347
384 440 661
725 375 446
25 518 699
263 210 56
708 31 878
835 100 815
513 593 240
463 741 474
463 518 145
826 434 313
60 179 221
773 362 460
560 60 68
314 596 15
300 268 27
795 601 227
287 424 589
273 80 476
751 102 185
246 343 963
650 156 53
212 542 65
279 442 537
427 523 588
707 740 384
575 868 379
83 755 659
442 711 871
361 11 2
857 640 161
800 633 472
521 338 671
694 531 736
264 244 952
386 241 308
231 447 642
101 867 888
809 700 236
478 58 672
238 363 477
223 151 493
524 64 88
64 608 189
62 12 885
675 64 381
22 684 353
155 414 895
208 443 286
419 40 932
88 435 426
34 28 545
777 491 725
436 568 806
264 827 102
177 55 541
22 795 221
220 413 336
425 808 397
663 561 469
439 614 889
478 49 424
688 382 93
247 493 400
496 615 195
443 623 177
505 173 870
403 601 237
576 223 999
340 762 738
99 458 823
324 527 606
481 624 909
861 127 74
230 164 301
14 92 598
299 16 399
877 580 175
834 265 23
1 530 551
496 807 837
162 254 175
474 204 967
464 582 814
43 635 121
38 350 94
791 741 855
614 533 148
35 787 489
528 868 848
54 674 17
500 254 226
843 351 914
549 521 19
85 197 900
834 636 674
65 454 557
330 230 770
571 402 713
703 859 596
581 626 35
249 289 461
17 698 515
263 488 985
27 640 90
172 493 953
123 811 900
814 286 931
606 874 760
428 334 613
705 296 96
233 259 159
557 849 666
464 96 258
495 258 293
528 133 323
320 35 316
437 816 534
362 245 784
539 723 252
316 139 149
436 496 453
880 132 899
252 140 325
812 353 997
159 647 438
432 78 785
157 55 307
634 458 481
219 709 964
175 528 722
422 272 852
336 597 593
587 356 734
175 470 386
545 275 770
261 237 919
294 877 382
504 791 425
331 421 813
832 167 931
149 443 821
495 387 313
850 214 19
469 799 952
794 35 628
121 131 540
787 91 579
458 320 260
49 577 815
849 547 901
297 419 271
225 393 886
584 695 975
220 719 543
877 82 455
552 360 48
261 362 112
367 274 839
164 181 735
2 618 426
617 40 877
220 782 111
498 27 609
527 832 750
246 777 346
314 98 599
356 737 397
525 789 206
98 347 586
468 285 212
162 9 409
672 294 758
599 518 739
81 102 928
730 324 363
52 794 475
774 720 785
848 391 760
463 398 627
696 374 528
826 798 48
568 660 6
79 95 698
36 592 569
566 151 551
577 408 581
150 32 679
239 49 630
351 261 156
488 263 942
807 410 843
514 524 604
33 428 306
590 589 414
690 449 761
698 339 705
785 267 515
519 830 1
841 435 974
391 350 38
275 608 82
851 92 181
832 781 307
586 835 125
142 46 776
76 562 304
451 92 883
24 417 393
287 67 210
115 92 835
567 739 393
417 594 650
786 582 221
742 578 502
622 4 412
740 62 761
461 787 783
770 6 182
499 698 826
412 379 793
307 266 269
425 299 522
248 340 910
764 827 102
748 401 235
55 484 822
442 321 42
456 280 982
34 101 665
831 449 482
95 418 464
351 47 914
683 101 30
222 787 242
343 141 450
858 690 113
477 55 590
716 459 689
85 813 243
710 142 204
645 361 754
121 276 740
484 469 178
300 538 165
730 468 443
476 386 812
154 89 213
666 487 675
367 45 649
778 822 969
317 209 665
485 492 801
830 321 704
744 305 73
644 867 691
756 503 674
325 191 448
737 421 398
500 303 850
827 560 202
66 341 109
228 666 744
665 203 782
38 792 612
718 137 762
174 833 371
880 683 864
803 2 722
284 462 349
624 456 566
292 609 62
587 528 195
9 429 351
555 388 112
136 206 93
461 786 155
650 777 802
320 366 838
447 407 213
674 4 368
365 26 308
65 106 885
835 86 80
435 131 275
76 183 680
717 165 302
853 410 626
725 788 769
176 340 874
605 796 330
637 242 545
306 522 248
196 602 335
696 329 29
238 452 745
687 89 292
751 85 43
769 613 94
287 638 389
13 605 835
872 508 428
773 344 850
518 359 369
153 278 742
440 364 41
302 482 480
331 825 7
293 549 386
322 478 499
235 372 216
451 152 216
581 291 870
412 827 23
561 141 285
603 628 977
198 238 282
538 701 159
17 47 704
211 742 71
553 595 871
373 683 969
448 327 937
244 862 387
600 397 317
396 856 104
736 51 12
520 636 102
435 106 494
331 542 964
688 112 71
672 643 996
761 814 329
211 806 442
165 348 101
294 603 212
217 48 437
375 748 862
834 519 637
552 105 994
420 493 934
657 200 877
53 178 308
333 138 552
781 183 833
162 586 222
360 410 189
442 813 385
315 567 410
542 107 237
650 566 28
417 297 367
89 572 86
549 542 895
223 874 834
115 527 158
709 352 366
125 584 786
48 448 309
467 264 111
527 417 75
819 749 52
417 274 426
465 246 940
359 653 654
462 862 584
820 396 812
577 66 266
707 4 485
122 761 367
418 231 96
147 108 359
727 684 598
486 197 982
259 117 547
621 148 402
643 493 67
216 357 847
167 229 853
675 102 646
782 268 938
229 762 953
869 642 472
83 97 78
519 590 886
848 490 88
211 144 300
329 311 872
732 804 914
449 875 645
206 261 72
226 481 536
538 476 779
459 319 389
170 457 976
99 104 818
44 113 717
204 875 847
439 579 701
584 319 137
228 55 823
703 858 258
431 662 424
697 478 756
864 35 245
73 197 355
276 827 243
758 14 519
613 277 980
669 665 892
132 245 965
753 880 406
424 356 640
644 538 940
632 475 761
307 288 445
808 21 65
38 729 572
880 846 345
260 119 24
316 577 925
455 298 586
876 228 142
176 451 16
504 538 824
670 120 986
301 341 386
213 833 194
236 248 566
824 171 489
720 820 849
854 584 62
597 609 385
882 758 807
160 407 585
736 575 366
849 402 807
862 849 420
504 145 366
86 176 172
128 866 197
179 372 645
469 605 340
852 167 752
125 736 295
58 469 658
169 254 930
252 648 454
854 753 998
832 31 943
842 182 446
840 564 763
721 761 270
602 146 465
753 392 683
163 74 938
216 189 379
191 510 703
848 627 582
879 459 668
488 360 609
579 801 107
563 807 855
350 850 67
584 757 409
385 496 504
376 318 894
777 274 90
627 739 494
874 417 873
416 332 14
622 566 119
289 455 944
402 277 56
441 328 342
776 819 936
14 366 580
822 381 815
685 15 273
538 200 598
74 288 344
795 561 674
134 566 377
407 244 280
799 343 847
718 206 119
691 238 573
54 872 860
29 213 813
448 798 638
551 113 82
663 665 419
617 72 665
378 653 80
154 534 929
119 457 994
654 557 732
568 83 816
702 265 602
527 319 910
380 751 524
45 577 961
793 410 875
226 288 327
292 617 495
356 21 358
171 186 362
279 87 45
278 275 928
241 159 189
766 354 387
44 639 387
829 667 585
818 582 262
838 236 256
493 858 589
645 602 379
346 778 974
226 650 799
675 631 943
245 710 112
175 547 507
448 48 931
873 282 516
640 676 355
349 169 392
857 716 508
383 865 595
166 28 651
108 381 549
151 181 47
837 292 840
6 483 326
343 676 43
299 379 336
220 639 324
564 83 50
214 697 841
491 495 441
689 25 459
399 796 389
298 786 161
435 370 907
720 129 525
678 656 435
343 563 107
570 101 266
699 358 842
760 567 937
391 573 643
399 360 454
413 684 36
839 663 852
184 247 884
678 299 983
708 34 992
464 625 562
485 10 913
596 521 255
564 32 763
29 97 290
403 690 911
257 576 321
12 863 288
706 25 451
727 532 628
188 7 859
580 15 864
725 727 510
770 186 524
672 337 885
26 227 671
24 225 322
822 90 463
315 64 358
549 663 551
163 742 491
721 147 35
814 725 532
361 399 5
220 638 178
526 825 452
752 18 103
817 260 91
377 839 940
716 401 871
569 316 796
327 595 243
394 569 973
620 88 302
347 101 453
542 291 44
789 555 436
520 179 596
611 856 876
541 366 961
251 630 134
100 182 359
403 207 253
65 216 358
176 476 90
298 724 422
152 666 647
426 137 875
740 631 263
168 617 34
337 204 544
249 672 111
744 376 355
627 741 869
565 273 444
19 310 854
409 730 431
661 601 56
620 499 818
855 155 262
712 780 829
363 674 295
196 307 457
285 255 154
316 880 184
816 784 879
504 107 853
609 344 603
524 560 139
661 586 827
325 846 982
433 529 995
780 455 373
103 745 590
862 117 210
146 737 981
817 449 585
591 399 814
175 45 658
831 729 455
8 608 679
597 614 722
296 77 818
346 137 363
508 828 293
196 718 504
814 476 50
200 471 690
197 88 148
606 151 467
708 416 13
510 579 869
242 722 945
715 415 564
78 564 330
142 823 880
53 191 293
881 690 500
597 508 934
34 777 510
787 403 172
672 855 167
738 18 37
705 201 724
660 154 958
593 867 97
370 40 365
272 823 487
109 222 403
658 155 133
103 718 413
511 581 923
475 714 969
27 396 757
607 303 424
834 734 377
730 334 873
183 313 47
662 812 726
285 799 69
593 631 938
21 381 703
222 353 70
681 149 334
330 110 661
183 410 949
256 739 817
18 321 204
691 628 756
169 630 394
470 162 884
398 234 838
232 142 338
260 74 630
279 522 828
667 575 523
234 226 6
673 362 524
734 29 384
383 153 84
855 678 502
65 241 421
266 248 135
221 296 775
607 777 171
311 784 226
65 308 292
79 259 365
226 760 707
112 462 71
92 324 898
223 147 943
51 826 841
188 159 771
344 531 867
125 548 725
838 785 394
348 716 27
68 4 605
286 423 227
803 545 540
613 343 222
150 644 879
129 453 564
539 104 131
774 41 232
727 324 534
64 751 217
110 359 252
253 67 111
626 67 309
749 9 373
722 780 482
753 56 835
593 306 16
573 868 663
302 62 95
600 87 102
465 598 811
695 805 281
433 834 563
74 134 2
803 642 176
681 336 839
588 236 988
585 180 876
68 289 962
395 882 702
20 333 771
857 507 908
579 563 620
255 780 412
417 349 270
691 151 871
324 281 315
655 335 199
656 778 596
747 795 874
307 743 647
61 306 848
648 621 173
686 371 673
578 717 847
17 680 786
291 152 831
350 285 704
459 223 746
142 735 645
9 152 44
189 238 747
362 304 39
472 348 956
160 482 202
297 775 141
420 409 922
863 456 839
260 382 411
42 79 657
619 618 924
551 717 419
381 851 913
625 30 258
290 669 330
301 85 999
569 438 9
620 27 772
32 879 849
396 325 615
683 79 696
678 799 32
235 188 479
63 13 165
831 146 474
123 623 527
256 68 320
393 875 615
661 524 596
96 561 52
593 92 323
357 152 456
379 217 880
247 21 101
695 759 406
523 274 708
791 106 330
69 672 304
710 306 289
55 846 534
403 518 31
73 578 87
56 689 851
182 829 391
169 451 455
328 387 365
738 438 225
856 540 780
644 108 72
465 782 913
651 723 53
791 468 459
454 468 7
401 388 977
570 551 52
476 56 586
561 324 57
643 229 493
552 510 952
165 235 728
88 390 756
340 758 668
384 146 546
445 785 271
216 389 691
106 841 788
92 119 194
389 24 723
65 856 294
827 767 503
586 98 778
387 162 556
659 371 61
56 66 443
504 557 915
718 596 95
502 575 450
447 102 285
250 323 6
441 507 942
703 874 398
693 473 520
329 185 522
520 602 787
408 757 165
820 250 674
536 658 711
81 582 690
550 206 852
644 792 695
567 195 880
66 240 543
106 207 589
378 448 575
221 473 654
282 439 400
379 673 219
342 820 526
9 866 493
507 673 362
763 780 923
734 531 182
489 406 928
266 118 461
232 753 335
642 645 804
729 413 24
191 570 271
567 340 773
354 744 935
701 551 553
41 99 25
318 725 482
585 653 216
384 352 366
322 347 346
19 394 879
96 820 529
765 456 510
440 512 816
97 669 147
124 8 253
357 539 62
153 773 749
693 85 234
182 696 835
345 721 262
601 105 871
403 793 347
127 57 823
395 194 405
130 370 848
571 513 5
682 191 344
440 170 42
65 186 24
495 465 965
694 196 416
91 633 628
157 465 143
542 414 444
8 29 314
686 693 846
307 32 559
822 750 759
645 632 581
809 846 62
508 51 142
174 255 191
199 33 321
861 611 963
213 526 947
406 16 459
621 308 925
138 133 919
521 333 769
81 856 136
342 779 33
552 581 108
123 445 604
160 95 821
434 615 368
453 41 701
779 127 811
778 495 164
192 617 604
785 285 790
723 877 777
233 182 180
712 65 78
807 710 655
83 93 952
15 756 490
331 661 218
557 861 919
851 728 149
833 672 334
720 62 990
115 1 589
695 210 926
176 714 414
567 723 408
644 765 251
478 632 349
545 518 604
383 317 704
614 725 994
309 339 240
631 761 226
826 131 652
427 254 441
611 545 916
692 101 255
579 250 278
333 435 189
523 859 153
218 351 692
453 216 56
83 248 53
390 529 622
397 77 394
452 382 859
423 535 358
67 16 770
378 354 26
649 239 924
491 413 594
386 766 217
378 106 431
12 774 869
687 793 630
479 771 543
794 42 61
392 135 374
275 39 825
436 625 830
84 107 950
536 22 154
346 539 378
28 299 507
660 116 74
29 805 450
505 170 96
408 879 412
174 542 306
261 314 435
497 23 554
202 651 484
75 612 289
133 761 422
42 177 354
357 10 102
869 422 175
539 72 504
717 448 236
28 743 355
498 324 857
202 874 725
186 697 635
159 229 147
673 681 938
806 629 460
691 296 306
290 496 13
452 359 21
122 276 665
481 645 127
291 106 179
42 231 894
81 537 722
409 392 992
522 439 24
35 756 651
6 256 777
343 130 261
471 430 453
476 1 121
753 850 459
708 136 682
180 197 72
21 770 265
135 764 535
877 558 990
398 78 312
503 393 553
870 368 977
801 430 81
14 26 500
828 853 834
608 693 244
221 86 78
28 358 836
692 857 280
761 635 544
557 707 894
122 8 881
364 388 157
749 406 809
852 147 945
531 9 669
415 412 247
750 247 38
738 470 87
341 667 428
20 878 186
254 190 289
430 761 866
373 540 121
497 796 31
289 667 40
17 665 429
822 461 430
695 375 390
120 715 188
132 154 105
697 40 708
323 50 826
617 222 388
71 174 52
405 654 149
870 194 181
797 573 111
538 373 967
554 709 648
137 150 629
854 592 614
630 333 688
825 874 840
104 572 516
276 703 756
866 519 372
827 448 354
317 38 668
407 88 566
515 227 349
410 878 694
17 65 495
804 468 969
696 771 656
858 286 658
229 569 81
760 431 687
226 301 630
453 684 337
782 660 869
87 110 7
459 7 803
794 851 592
489 506 12
612 425 199
31 661 141
625 869 573
577 400 255
542 873 297
698 867 453
358 614 93
821 599 882
321 635 859
782 111 405
728 19 930
537 550 680
353 424 769
185 703 833
398 639 227
278 332 19
743 202 795
147 57 261
144 632 561
505 673 402
245 279 645
438 180 864
435 122 22
495 464 535
492 183 180
571 249 258
429 816 266
475 848 643
108 386 180
502 424 815
662 124 225
248 770 323
772 852 869
385 422 540
210 427 270
208 876 610
298 556 241
23 287 213
15 731 276
791 416 364
162 636 422
718 736 79
614 768 293
433 20 260
16 111 507
489 492 348
129 303 26
880 630 687
515 13 186
16 383 380
540 637 737
75 773 211
384 187 4
435 762 798
725 679 936
50 208 995
573 554 749
764 322 263
526 682 63
118 286 213
397 572 278
469 206 298
464 229 389
687 879 985
704 75 654
759 457 880
670 186 977
581 685 913
869 377 233
225 630 878
785 742 323
317 593 659
772 181 92
438 668 442
97 113 383
69 120 574
248 116 84
632 26 424
555 867 629
609 130 459
792 284 141
685 37 586
80 705 544
426 304 746
527 434 144
540 562 512
305 340 293
172 303 920
826 407 151
382 701 656
253 683 47
87 337 106
858 490 547
740 32 300
425 620 616
616 868 763
685 12 598
758 555 517
608 474 504
132 858 327
658 867 243
632 295 763
718 392 66
693 122 585
69 619 376
143 127 584
55 182 663
216 29 952
312 2 46
269 618 712
190 427 544
39 79 766
683 770 977
95 557 845
498 294 391
530 458 807
626 251 85
649 715 358
752 826 265
483 314 530
134 307 295
329 435 418
768 709 796
792 690 790
421 187 968
397 414 31
328 497 795
241 785 710
487 773 516
315 254 348
465 411 670
738 133 823
326 731 761
393 262 900
421 103 392
203 697 555
574 869 922
646 37 68
794 565 804
418 477 73
812 446 296
185 471 819
649 215 860
151 308 620
608 880 284
274 466 542
24 609 515
669 342 621
201 678 473
310 309 687
25 4 526
120 124 242
166 559 30
78 550 578
799 563 298
413 436 113
603 74 983
521 19 188
603 376 970
109 52 859
347 417 911
840 825 481
189 875 451
293 434 56
343 521 191
473 606 357
63 576 748
485 293 83
624 784 791
341 158 383
74 490 545
484 797 397
587 2 806
567 624 175
692 193 400
292 305 602
719 374 167
694 367 149
32 813 318
513 806 66
114 13 420
139 199 336
302 444 154
258 414 119
686 118 519
549 522 955
282 171 793
278 148 860
78 85 780
224 541 395
83 688 166
769 495 216
109 869 779
310 713 816
695 866 430
367 797 992
168 413 937
360 820 159
539 374 237
293 742 922
259 485 786
444 183 765
45 764 767
362 185 492
411 811 102
640 9 405
764 448 448
67 274 519
174 860 815
310 522 127
34 650 852
118 134 705
840 9 631
588 378 867
249 381 14
697 562 369
165 160 862
632 305 510
89 636 930
698 167 705
468 867 589
467 7 7
786 569 556
807 586 70
648 578 82
323 111 300
245 179 360
456 418 205
418 184 276
459 800 136
641 40 86
658 599 453
399 833 740
212 211 602
722 15 330
585 251 188
35 791 524
269 33 317
126 781 219
472 732 488
828 472 153
714 112 3
768 104 793
881 785 605
771 688 802
818 421 278
13 717 288
242 297 987
160 576 956
461 398 615
154 264 529
472 501 967
461 442 413
120 822 434
664 657 421
180 848 528
871 639 304
744 277 588
443 660 622
690 287 489
244 41 91
200 609 412
31 146 135
407 552 883
78 748 280
664 53 261
683 285 39
240 398 998
188 155 388
221 175 799
624 703 337
775 530 612
152 629 213
24 586 486
42 378 800
471 342 728
532 115 604
751 454 860
548 806 146
528 114 472
644 474 411
214 576 36
466 774 55
833 295 343
115 335 359
312 494 559
214 880 995
80 485 460
202 247 87
377 789 835
878 77 419
204 183 305
632 820 986
212 131 497
880 514 343
398 601 543
540 614 757
461 249 618
494 856 105
643 189 850
636 733 887
840 498 991
714 38 999
653 720 145
735 189 362
692 37 818
107 3 441
353 14 321
336 877 296
174 667 364
473 174 807
227 581 490
843 775 835
726 642 146
376 52 450
505 475 63
408 317 49
458 799 449
63 211 687
642 322 307
61 794 896
100 721 335
89 511 569
668 802 157
379 486 201
182 739 233
761 359 86
787 189 361
852 176 954
774 664 737
738 110 578
798 239 253
129 428 448
403 531 858
504 802 163
139 63 969
842 658 86
169 216 219
613 832 524
6 249 372
497 698 461
106 374 835
168 53 82
427 301 167
418 91 991
498 251 980
406 413 433
719 147 751
485 471 27
579 44 809
697 159 713
161 47 909
14 505 671
194 254 787
756 132 414
168 674 382
517 701 843
680 632 62
844 378 469
199 464 704
605 521 479
874 164 800
274 649 638
340 162 570
572 389 357
805 537 521
32 62 590
713 280 920
491 601 894
295 24 921
483 790 978
124 689 766
848 479 689
300 413 934
722 194 889
222 234 622
162 377 963
443 431 87
136 847 87
290 155 803
645 833 585
339 815 652
431 42 300
414 555 49
568 194 960
614 562 393
153 105 587
94 197 353
379 125 904
15 145 577
541 597 336
277 217 770
129 7 23
110 505 21
656 483 636
826 220 813
726 511 83
201 590 578
359 173 980
571 500 298
631 697 55
695 707 216
152 264 905
624 547 246
510 443 514
443 596 253
99 811 59
110 72 304
48 513 520
494 56 876
635 384 363
113 197 492
631 380 792
389 802 703
289 448 423
93 69 152
48 598 950
380 347 799
587 704 175
20 161 257
156 338 306
129 158 850
468 719 222
574 283 322
434 750 319
1 702 942
226 180 198
706 305 467
364 803 393
7 736 338
387 299 659
769 48 642
564 541 536
566 161 979
312 112 351
27 361 405
303 353 67
746 115 536
682 273 629
796 528 557
313 234 718
420 731 211
788 850 161
578 193 293
119 61 325
293 835 752
808 190 690
715 353 357
375 252 21
250 62 189
18 71 503
743 270 724
819 635 644
714 491 677
440 447 761
607 838 327
373 188 441
217 203 47
709 365 157
810 48 567
162 130 667
177 682 839
712 505 507
257 69 162
599 203 625
260 578 940
93 156 706
260 524 16
664 850 591
551 130 843
276 877 740
498 757 553
480 455 593
410 235 308
407 320 318
279 137 699
175 681 333
781 586 800
224 703 349
744 127 841
142 86 777
245 30 553
45 169 10
758 579 716
802 669 677
391 345 784
558 409 903
108 405 950
629 559 619
366 374 946
615 472 318
402 423 540
110 161 942
583 699 665
744 121 290
230 350 101
270 424 809
626 4 288
385 319 710
227 335 75
720 100 534
125 171 536
570 64 694
877 474 621
538 379 284
15 870 392
604 539 976
29 671 402
447 534 790
399 870 293
472 147 894
442 264 343
756 822 105
353 628 707
453 797 573
690 641 747
540 682 9
724 448 960
64 774 707
165 522 647
725 155 827
455 217 948
675 60 386
263 877 714
84 851 733
542 493 156
862 216 496
420 373 236
22 250 900
89 321 808
375 656 320
201 610 191
106 392 536
202 878 125
193 612 495
337 601 455
701 110 752
698 260 742
798 46 261
178 221 686
303 551 190
770 102 522
125 836 943
107 19 192
868 508 391
485 257 785
265 789 996
492 658 181
526 512 21
68 374 198
566 712 752
65 48 261
708 390 292
386 247 406
240 76 399
105 530 906
835 592 641
425 724 472
140 543 631
676 562 937
878 189 690
693 317 382
479 826 184
874 415 287
694 397 771
531 415 260
330 405 287
755 290 841
654 667 193
51 56 27
437 632 996
223 103 448
283 264 840
396 99 549
603 261 477
152 227 591
694 271 288
43 758 539
260 487 955
419 242 693
101 402 769
89 45 967
811 735 477
483 175 594
858 253 423
105 876 693
624 258 153
586 123 925
656 185 26
679 768 269
429 824 880
39 87 324
112 408 260
868 260 166
611 632 671
758 354 429
243 388 668
736 619 717
859 469 957
64 732 711
377 345 492
402 482 330
668 458 620
864 280 860
638 523 562
706 226 914
846 325 779
203 266 313
464 205 686
327 160 332
502 734 557
772 273 81
159 142 982
317 498 607
231 720 826
153 621 768
689 56 761
508 169 275
685 214 59
578 220 464
422 873 650
309 692 893
403 459 363
588 151 928
15 277 168
321 57 868
258 565 310
74 198 71
781 340 284
814 769 198
141 281 972
44 375 93
525 210 130
243 619 282
279 138 940
750 26 22
361 294 155
503 385 13
526 588 532
601 379 615
389 394 17
221 6 716
749 210 73
78 107 194
356 417 91
240 69 869
741 553 58
173 157 596
654 835 931
484 172 230
640 614 645
18 698 892
508 518 548
577 801 860
388 406 435
160 337 113
543 649 282
125 795 538
173 450 278
566 98 331
75 452 1000
517 8 277
848 493 118
268 380 824
9 245 422
503 14 378
302 658 239
635 216 3
716 473 572
712 361 755
664 815 695
508 805 806
14 571 989
690 871 985
574 335 161
23 677 613
593 380 897
805 308 284
810 408 376
470 424 237
874 834 440
126 365 403
322 509 649
461 650 902
354 794 499
492 533 482
121 364 367
291 801 962
589 105 599
147 49 965
399 31 617
225 52 281
406 139 21
569 591 360
727 157 862
732 613 179
163 380 709
498 698 972
20 836 162
307 604 968
667 144 915
762 641 129
494 471 78
689 704 108
305 40 415
